,Id_emp,Name,Last_name,birth_date,gender,area,salary,email,start_date,type,States
0,41-2225304,Ezekiel,A'Barrow,1999-02-18,male,Business Development,80709,Ezekiel_A'.R@example.com,2001-08-07,REMOTE,Vermont
1,01-0027092,Jock,Aarons,1988-12-23,female,Engineering,173688,Jock_Aa.R@example.com,2002-08-11,REMOTE,Minnesota
2,82-2860536,Ferrel,Aartsen,1995-07-13,female,Accounting,117511,Ferrel_Aa.H@example.com,2016-06-03,HYBRID,Texas
3,18-0367857,Marge,Abate,1973-03-25,female,Engineering,112662,Marge_Ab.H@example.com,2007-01-26,HYBRID,Texas
4,76-7456746,Ado,Abatelli,1975-10-27,male,Accounting,84683,Ado_Ab.H@example.com,2014-01-24,HYBRID,Texas
5,35-4558116,Lisa,Abatelli,1980-03-19,female,Accounting,116635,Lisa_Ab.H@example.com,2013-09-10,HYBRID,Texas
6,76-2607804,Stoddard,Abatelli,1975-07-29,female,Human Resources,107894,Stoddard_Ab.R@example.com,2014-08-03,REMOTE,Arkansas
7,02-7423004,Sharleen,Abba,1994-02-04,female,Engineering,173241,Sharleen_Ab.H@example.com,2020-07-31,HYBRID,Texas
8,52-1535671,Annabel,Abbado,2001-10-04,male,Human Resources,114137,Annabel_Ab.H@example.com,2010-03-29,HYBRID,Texas
9,65-9379141,Sandy,Abbey,1995-08-07,female,Business Development,89591,Sandy_Ab.R@example.com,2007-03-06,REMOTE,Florida
10,46-6951486,Tim,Abbie,1999-09-07,female,Business Development,94796,Tim_Ab.H@example.com,2016-12-11,HYBRID,Texas
11,03-5122131,Gladi,Abbot,1974-12-03,male,Accounting,149717,Gladi_Ab.R@example.com,2017-09-07,REMOTE,Iowa
12,05-2710257,Laurence,Abbot,2002-07-09,female,Engineering,137187,Laurence_Ab.H@example.com,2002-09-22,HYBRID,Texas
13,05-6984388,Vittoria,Abbots,1972-10-28,male,Engineering,138509,Vittoria_Ab.H@example.com,2014-06-03,HYBRID,Texas
14,21-0225498,Shellysheldon,Abbott,2002-03-02,female,Accounting,78880,Shellysheldon_Ab.R@example.com,2015-06-26,REMOTE,Oklahoma
15,30-8756028,Weider,Abby,1995-07-24,female,Human Resources,181803,Weider_Ab.R@example.com,2003-09-01,REMOTE,Georgia
16,52-9799598,Leticia,Abbys,1997-01-31,male,Engineering,175563,Leticia_Ab.R@example.com,2003-10-26,REMOTE,Arizona
17,40-4809866,Wayland,Abeau,1978-09-04,male,Engineering,179529,Wayland_Ab.R@example.com,2004-06-01,REMOTE,Pensilvania​
18,09-6007498,Daryl,Abeau,1975-08-09,female,Human Resources,157066,Daryl_Ab.H@example.com,2012-02-16,HYBRID,Texas
19,37-6038275,Lucienne,Abela,1992-06-26,female,Support,80599,Lucienne_Ab.R@example.com,2008-01-08,REMOTE,Alabama
20,44-7890623,Hope,Abeles,1978-01-25,female,Engineering,116571,Hope_Ab.H@example.com,2011-11-10,HYBRID,Texas
21,59-6588155,Waldo,Abelov,1975-07-17,male,Product Management,77546,Waldo_Ab.H@example.com,2011-02-07,HYBRID,Texas
22,03-6259593,Sophey,Abelson,1978-06-21,male,Research and Development,158580,Sophey_Ab.R@example.com,2000-11-11,REMOTE,Virginia
23,54-4029541,Domingo,Abendroth,1982-01-29,female,Product Management,73828,Domingo_Ab.H@example.com,2009-06-18,HYBRID,Texas
24,77-6125082,Goraud,Aberchirder,1995-11-15,female,Training,151781,Goraud_Ab.R@example.com,2011-04-28,REMOTE,Alabama
25,61-6204991,Esma,Aberdalgy,1986-11-01,female,Engineering,176250,Esma_Ab.H@example.com,2018-02-05,HYBRID,Texas
26,29-0125171,Hildegaard,Aberdein,2000-08-25,male,Sales,105387,Hildegaard_Ab.R@example.com,2006-09-13,REMOTE,Montana
27,17-7474380,Wren,Aberhart,1983-09-23,male,Accounting,183083,Wren_Ab.R@example.com,2020-09-24,REMOTE,Alabama
28,61-6008733,Meade,Aberhart,1970-07-27,female,Business Development,75134,Meade_Ab.H@example.com,2012-01-17,HYBRID,Texas
29,81-4119257,Issi,Abernethy,1974-08-20,male,Human Resources,82631,Issi_Ab.R@example.com,2013-05-04,REMOTE,Pensilvania​
30,25-6983034,Donelle,Ableson,1974-02-08,male,Engineering,131108,Donelle_Ab.H@example.com,2014-08-19,HYBRID,Texas
31,67-8358027,Uri,Ableson,1974-03-28,male,Legal,143576,Uri_Ab.R@example.com,2013-11-06,REMOTE,Dakota del Norte
32,52-9368890,Joe,Ablett,1966-01-23,male,Engineering,172940,Joe_Ab.R@example.com,2003-04-22,REMOTE,California
33,18-0527111,Gonzalo,Ablewhite,1969-04-28,male,Research and Development,137336,Gonzalo_Ab.R@example.com,2002-12-09,REMOTE,Dakota del Norte
34,45-2863542,Rona,Abraham,1977-03-02,male,Human Resources,81414,Rona_Ab.R@example.com,2007-08-23,REMOTE,Kentucky
35,92-5424745,Hatty,Abrahamoff,1998-04-27,female,Business Development,147532,Hatty_Ab.H@example.com,2013-08-10,HYBRID,Texas
36,64-3262243,Winona,Abrahams,1988-12-26,male,Engineering,158332,Winona_Ab.H@example.com,2018-12-26,HYBRID,Texas
37,06-5977037,Blinnie,Abrahams,1990-02-17,female,Services,157373,Blinnie_Ab.H@example.com,2016-03-28,HYBRID,Texas
38,75-8614130,Idaline,Abrahamsen,1990-04-27,female,Product Management,150699,Idaline_Ab.H@example.com,2017-10-26,HYBRID,Texas
39,08-4616674,Alfie,Abrahamsen,1987-12-10,male,Training,76853,Alfie_Ab.R@example.com,2001-06-07,REMOTE,Tennessee
40,51-3450987,Ansley,Abrahamson,1967-08-10,male,Sales,86649,Ansley_Ab.H@example.com,2003-11-13,HYBRID,Texas
41,49-2733170,Kristy,Abrahart,1992-10-27,female,Legal,124846,Kristy_Ab.H@example.com,2011-11-27,HYBRID,Texas
42,53-6207470,Tonye,Abrahim,1974-03-04,male,Engineering,168551,Tonye_Ab.H@example.com,2018-08-22,HYBRID,Texas
43,74-6871846,Rea,Abrahmer,1974-06-11,male,Engineering,113359,Rea_Ab.R@example.com,2011-09-28,REMOTE,Luisiana​
44,29-2858175,Madalena,Abramcik,2001-04-03,female,Engineering,101979,Madalena_Ab.H@example.com,2020-02-11,HYBRID,Texas
45,38-1101129,Rozelle,Abramov,1976-09-04,male,Accounting,166625,Rozelle_Ab.R@example.com,2003-05-22,REMOTE,Connecticut
46,33-2788786,Oneida,Abramov,1970-11-28,male,Accounting,116659,Oneida_Ab.H@example.com,2010-08-19,HYBRID,Texas
47,26-9690769,Flem,Abramovic,1981-05-18,female,Accounting,141541,Flem_Ab.H@example.com,2012-05-21,HYBRID,Texas
48,52-5724869,Grover,Abramovicz,1976-03-14,male,Training,132274,Grover_Ab.H@example.com,2008-01-06,HYBRID,Texas
49,13-5608210,Hort,Abramovicz,1972-06-10,male,Training,147949,Hort_Ab.R@example.com,2005-01-17,REMOTE,Míchigan​
50,05-2746611,Maryanne,Abramowsky,1967-07-07,female,Services,160655,Maryanne_Ab.R@example.com,2018-04-17,REMOTE,Arizona
51,80-4616749,Kristin,Abrams,1978-02-22,male,Training,125388,Kristin_Ab.R@example.com,2004-02-24,REMOTE,Nuevo Hampshire​
52,35-3598428,Taite,Abramsky,1984-06-03,male,Human Resources,180133,Taite_Ab.H@example.com,2014-06-28,HYBRID,Texas
53,35-4637858,Norah,Abramsky,1993-06-08,female,Product Management,169527,Norah_Ab.R@example.com,2003-12-28,REMOTE,Delaware
54,21-1612620,Helenelizabeth,Abrashkin,1987-03-16,male,Accounting,159062,Helenelizabeth_Ab.R@example.com,2008-06-02,REMOTE,Delaware
